S.no,Description,Question,Answer
2925,"Stephen Fleming coach of the CSK and Tom Moody coach of the Hyderabad after the match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Sandeep Shetty /SPORTZPICS for BCCI",___________ coach of the CSK and Tom Moody coach of Hyderabad,Stephen Fleming
2926,"Kane Williamson captain of Hyderabad and MS Dhoni captain of CSK shakes hand after the match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Sandeep Shetty /SPORTZPICS for BCCI",___________ and MS Dhoni captain of CSK shake hands,Kane Williamson
2927,"Kane Williamson captain of Hyderabad and Suresh Raina of CSK shakes hand after the match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Sandeep Shetty /SPORTZPICS for BCCI",___________ captain of Hyderabad and Suresh Raina of CSK,Kane Williamson
2928,"CSK coach Stephen Fleming speaks at a press conference after the match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ coach Stephen Fleming speaks at a press conference,Chennai Super Kings
2929,"Rashid Khan of Hyderabad speaks at a press conference after the match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad speaks at a press conference,Rashid Khan
2930,"Rashid Khan of Hyderabad speaks at a press conference after the match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad speaks at a press conference,Rashid Khan
2931,"Jonny Bairstow of Hyderabad and Yusuf Pathan of Hyderabad greet each other after winning the match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad and Yusuf Pathan of Hyderabad greet,Jonny Bairstow
2932,"Jonny Bairstow of Hyderabad reacts after winning the match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad reacts after winning,Jonny Bairstow
2933,"Jonny Bairstow of Hyderabad reacts after winning the match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad reacts after winning,Jonny Bairstow
2934,"Deepak Hooda of Hyderabad plays a shot during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad plays a shot,Deepak Hooda
2935,"Jonny Bairstow of Hyderabad plays a shot during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad plays a shot,Jonny Bairstow
2936,"Yusuf Pathan of Hyderabad and Jonny Bairstow of Hyderabad after the match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Vipin Pawar /SPORTZPICS for BCCI",___________ of Hyderabad and Jonny Bairstow of Hyderabad,Yusuf Pathan
2937,"Faf du Plessis of CSK takes a catch of Deepak Hooda of Hyderabad during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Vipin Pawar /SPORTZPICS for BCCI",___________ of CSK takes a catch of Deepak Hooda of Hyderabad,Faf du Plessis
2938,"Deepak Hooda of Hyderabad plays a shot during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad plays a shot,Deepak Hooda
2939,"Deepak Hooda of Hyderabad plays a shot during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad plays a shot,Deepak Hooda
2940,"Hyderabad team in dugout applauds Jonny Bairstow of Hyderabad for scoring 50 during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Sandeep Shetty /SPORTZPICS for BCCI",___________ team in dugout applauds Jonny Bairstow,Sunrisers Hyderabad
2941,"Hyderabad team in dugout applauds Jonny Bairstow of Hyderabad for scoring 50 during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Sandeep Shetty /SPORTZPICS for BCCI",___________ team in dugout applauds Jonny Bairstow,Sunrisers Hyderabad
2942,"Jonny Bairstow of Hyderabad raises his bat after scoring fifty runs during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad raises his bat after scoring fifty runs,Jonny Bairstow
2943,"Jonny Bairstow of Hyderabad raises his bat after scoring fifty runs during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad raises his bat after scoring fifty runs,Jonny Bairstow
2944,"Jonny Bairstow of Hyderabad raises his bat after scoring a fifty during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Vipin Pawar /SPORTZPICS for BCCI",___________ of Hyderabad raises his bat after scoring a fifty,Jonny Bairstow
2945,"Imran Tahir of CSK celebrates the wicket of Vijay Shankar of Hyderabad during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of CSK celebrates the wicket of Vijay Shankar,Imran Tahir
2946,"Imran Tahir of CSK celebrates the wicket of Vijay Shankar of Hyderabad during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of CSK celebrates the wicket of Vijay Shankar,Imran Tahir
2947,"Imran Tahir of CSK celebrates the wicket of Vijay Shankar of Hyderabad during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of CSK celebrates the wicket of Vijay Shankar,Imran Tahir
2948,"Jonny Bairstow of Hyderabad plays a shot during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad plays a shot,Jonny Bairstow
2949,"Jonny Bairstow of Hyderabad plays a shot during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad plays a shot,Jonny Bairstow
2950,"Jonny Bairstow of Hyderabad plays a shot during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad plays a shot,Jonny Bairstow
2951,"CSK players celebrate the wicket of Vijay Shankar of Hyderabad during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Vipin Pawar /SPORTZPICS for BCCI",___________ players celebrate the wicket,Chennai Super Kings
2952,"CSK players celebrate the wicket of Vijay Shankar of Hyderabad during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Vipin Pawar /SPORTZPICS for BCCI",___________ players celebrate the wicket,Chennai Super Kings
2953,"Ravindra Jadeja of CSK tries to field during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Vipin Pawar /SPORTZPICS for BCCI",___________ of CSK tries to field,Ravindra Jadeja
2954,"Jonny Bairstow of Hyderabad plays a shot during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Vipin Pawar /SPORTZPICS for BCCI",___________ of Hyderabad plays a shot,Jonny Bairstow
2955,"during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",Identify the bowler,Imran Tahir
2956,"Imran Tahir of CSK celebrates the wicket of Kane Williamson of Hyderabad during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",Identify the bowler,Imran Tahir
2957,"Imran Tahir of CSK celebrates the wicket of Kane Williamson of Hyderabad during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",Identify the bowler,Imran Tahir
2958,"Imran Tahir of CSK celebrates the wicket of Kane Williamson of Hyderabad during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",Identify the bowler,Imran Tahir
2959,"CSK players celebrate the wicket of David Warner of Hyderabad during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ players celebrate the wicket of David Warner of Hyderabad,Chennai Super Kings
2960,"David Warner of Hyderabad walking back after getting out during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad walking back after getting out,David Warner
2961,"Imran Tahir of CSK fields during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Vipin Pawar /SPORTZPICS for BCCI",___________ of CSK fields,Imran Tahir
2962,"David Warner of Hyderabad reacts after getting out during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad reacts after getting out,David Warner
2963,"Jonny Bairstow of Hyderabad plays a shot during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Vipin Pawar /SPORTZPICS for BCCI",___________ of Hyderabad plays a shot,Jonny Bairstow
2964,"CSK players celebrate the wicket of Kane Williamson captain of Hyderabad during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Vipin Pawar /SPORTZPICS for BCCI",___________ players celebrate the wicket of Kane Williamson,Chennai Super Kings
2965,"Imran Tahir of CSK celebrates the wicket of Kane Williamson captain of Hyderabad during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Vipin Pawar /SPORTZPICS for BCCI",___________ players celebrate the wicket of Kane Williamson,Imran Tahir
2966,"CSK players celebrate the wicket of David Warner of Hyderabad during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Vipin Pawar /SPORTZPICS for BCCI",___________ players celebrate the wicket of David Warner,Chennai Super Kings
2967,"David Warner of Hyderabad raises his bat after scoring fifty runs during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad raises his bat after scoring fifty runs,David Warner
2968,"David Warner of Hyderabad raises his bat after scoring fifty runs during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad raises his bat after scoring fifty runs,David Warner
2969,"Mohammad Azharuddin son Asaduddin during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Sandeep Shetty /SPORTZPICS for BCCI",___________'s son Asaduddin,Mohammad Azharuddin
2970,"Sania Mirza with Sister Anam Mirza's during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Sandeep Shetty /SPORTZPICS for BCCI",___________ with Sister Anam Mirza's,Sania Mirza
2971,"David Warner of Hyderabad raises his bat after scoring a fifty match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Vipin Pawar /SPORTZPICS for BCCI",___________ of Hyderabad raises his bat after scoring a fifty match,David Warner
2972,"David Warner of Hyderabad plays a shot during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Vipin Pawar /SPORTZPICS for BCCI",___________ of Hyderabad plays a shot,David Warner
2973,"David Warner of Hyderabad and Jonny Bairstow of Hyderabad running between the wickets during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad and Jonny Bairstow of Hyderabad running,David Warner
2974,"David Warner of Hyderabad plays a shot during match 33 of the IPLSeason 12, 2019 between the Hyderabad and the CSK held at the Rajiv Gandhi Intl. Cricket Stadium, Hyderabad on the 17th April 2019Photo by: Faheem Hussain /SPORTZPICS for BCCI",___________ of Hyderabad plays a shot,David Warner
